Date;Url;Nombre requêtes;Taille(kb);Taille du dom;GES;Eau;ecoIndex;Note
13/10/2025 19:15;https://www.facebook.com/messages/t;531;9650;1707;2.84;4.26;8.07;G
13/10/2025 19:14;https://www.facebook.com/login/device-based/login/;341;5212;3199;2.88;4.32;5.93;G
13/10/2025 19:13;https://www.facebook.com/login/device-based/login/;109;3019;4676;2.65;3.97;17.53;F
13/10/2025 19:13;https://www.facebook.com/?stype=lo&flo=1&deoia=1&jlou=AfhpRFVkvLR48hlC2_MiO54NtCIAZ8-zJPC8J2LCfRU8piZJfyNhyfxIBfNkQyZghWjpzCpjWc9Av5QQn9Nl1EA02A1ufFfnw13pHQgslTpl9w&smuh=48118&lh=Ac8BxDF6sn7Q5eh0XLo;51;856;285;1.56;2.34;72.13;B
